scene_script,summary
"INT. PUBLISHING HOUSE RECEPTION AREA - DAY

It's grand and modern.  Random House-Knopf-Taschen is etched
on the wall in large gold letters.  An old woman enters
carrying a tattered manuscript, maybe a thousand pages.  She
seems haunted, hollow-eyed, sickly.  The young receptionist,
dressed in a shiny, stretchy one-piece pantsuit, looks up.

		RECEPTIONIST
	Oh, hi.

		OLD WOMAN
		(apologetically)
	Hi, I was in the neighborhood and thought
	I'd see --

		RECEPTIONIST
	I think he's in a conference.
	Unfortunately.  I'm really sorry.

		OLD WOMAN
	Would you just try him?  You never know.
	As long as I'm here.  You never know.

		RECEPTIONIST
	Of course.  Please have a seat.

The old woman smiles and sits, the bulky manuscript on her
lap.  She stares politely straight ahead.

		RECEPTIONIST (CONT'D)
		(quietly into headset)
	It's her -- I know, but couldn't you just
	-- Yes, I know, but -- I know, but she's
	old and it would be a nice -- Yes, sorry.
		(to old woman)
	I'm sorry, ma'am, he's not in right now.
	It's a crazy time of year for us.

The receptionist gestures toward a Christmas tree in the
corner.  Its ornaments are holograms.

		OLD WOMAN
	This book -- It's essential that people
	read it because --
		(gravely, patting the
		 manuscript)
	-- It's the truth.  And only I know it.

		RECEPTIONIST
		(nodding sympathetically)
	Maybe after the holidays then.","An old woman walks into a grand and modern publishing house carrying a tattered manuscript that seems to be about a thousand pages long. She appears haunted, hollow-eyed, and sickly. The receptionist greets her and tells her that the person she wants to see is in a conference and asks if she would like to wait. The old woman agrees and sits down with the manuscript on her lap. The receptionist talks to someone on her headset, referring to the old woman. The old woman insists that it is essential for people to read her book as it tells the truth and only she knows it. The receptionist nods in sympathy and suggests that the old woman come back after the holidays. The scene is set during the Christmas season as a hologram tree is seen in the background."
"INT. TILED HALLWAY - DAY

The old woman carries her manuscript haltingly down a subway
hall.  She stops to catch her breath, then continues and
passes several archway with letters printed above them.  When
she arrives at one topped by an LL, she slips a card in a
slot.  A plastic molded chair drops into the archway.  She
sits in the chair; it rises.","In this scene, an old woman is carrying a manuscript down a subway hallway. As she walks, she stops to catch her breath, and then continues moving. She passes several archways that have letters printed above them. When she reaches one with the letters ""LL"" on top, she inserts a card in a slot, causing a plastic chair to drop down into the archway. She sits in the chair, and it begins to rise."
"INT. TUBE -DAY

The woman is still in the chair as it slips gracefully into a
line of chairs shooting through a glass tube.  The other
chairs are peopled with commuters.  We stay with the woman as
she and the others travel over New York City in the tube.
There are hundreds of these commuter tubes crisscrossing the
skyline.  The woman glances at the manuscript in her lap.
It's called:

Eternal Sunshine of the Spotless Mind

This serves as the movie's opening title.  The other credits
follow, as the old woman studies commuters in passing tubes.
Their faces are variously harsh and sad and lonely and blank.","The scene opens with a woman sitting in a chair as it moves into a line of chairs in a tube. The tube is filled with commuters and they travel over New York City. The woman looks at a manuscript in her lap titled ""Eternal Sunshine of the Spotless Mind"". This serves as the opening title for the movie, followed by additional credits. The woman, an old lady, observes the faces of other commuters as they pass by in their own tubes, noticing that they appear harsh, sad, lonely, and blank."
"INT. WAITING ROOM - DAY

SUBTITLED: FIFTY YEARS EARLIER

Every doctor's office waiting room: chairs against the wall,
magazines on end tables, a sad-looking potted plant, generic
seascape paintings on the walls.  The receptionist, Mary, 25,
can be seen typing in the reception area.  Behind her are
shelves and shelves of medical files.  The door opens and
Clementine enters.  She's in her early thirties, zaftig in a
faux fur winter coat over an orange hooded sweatshirt.  She's
decidedly funky and has blue hair.  Mary looks up.

		MARY
	May I help you?

		CLEMENTINE
		(approaching reception area)
	Yeah, hi, I have a one o'clock with Dr.
	Mierzwiak.  Clementine Kruczynski.

		MARY
	Yes, please have a seat.  He'll be right
	with you.

Clementine sits.  She looks tired, maybe hungover.  She picks
up a magazine at random and thumbs without interest.","In this scene, Clementine enters a typical doctor's office waiting room for her appointment with Dr. Mierzwiak. The setting is fifty years earlier than the present day shown in the rest of the film. The receptionist, Mary, checks her in and Clementine sits down to wait. She looks tired and disinterested as she flips through a magazine. Clementine's style stands out with her funky clothing and blue hair."
"INT. INNER OFFICE AREA - CONTINUOUS

Mary pads down the hallway.  She knocks on a closed door.

		MIERZWIAK (O.S.)
	Yes?

Mary opens the door, peeks in.  Howard Mierzwiak, 40's,
professional, dry, sits behind his desk studying some papers.

		MARY
	Howard, your one o'clock.

		MIERZWIAK
		(not looking up)
	Thanks, Mary.  You can bring her in.

She smiles and nods.  It's clear she's in love.  It's equally
clear that Mierzwiak doesn't have a clue.  Mary turns to
leave.

		MIERZWIAK (CONT'D)
		(looking up)
	Mary...

		MARY
		(turning back)
	Yes?

		MIERZWIAK
	Order me a pastrami for after?

		MARY
	Cole slaw, ice tea?

		MIERZWIAK
		(nodding)
	Thanks.

		MARY
	Welcome, Howard.

She smiles and heads down the hall.  Stan, 30's, tall,
spindly, and earnest in a lab coat pops out of a doorway.

		STAN
	Boo.

		MARY
	Hi.

She glances back nervously at Mierzwiak's open door.

		STAN
	Barely seen you all morning, kiddo.

He leans in to kiss her.  She cranes her neck to keep him
off.

		MARY
		(reprimanding whisper)
	Stan... c'mon...

		STAN
	Sorry.  I just --

		MARY
		(somewhat guiltilly)
	It's just...y'know... I mean...

		STAN
	I know.  Anyway --

		MARY
	Anyway, I've got to do my tap
	dance here.

She indicates the door to the reception area.  Stan nods.

		STAN
	See you later, alligator.

		MARY
	'kay.

		STAN
	Hey, if you're ordering lunch for
	Mierzwiak, would you --

		MARY
	I better do this, Stan.

Stan nods again and Mary opens the door to the waiting room.

		MARY (CONT'D)
	Ms. Kruczynski?

		CLEMENTINE (O.S.)
	Hi.

After a moment, Clementine appears in the doorway.  Mary
leads her down the hall, not looking back.

		MARY
		(professionally courteous)
	How are you today?

		CLEMENTINE
	Okay, I guess.

		MARY
		(at Mierzwiak's office)
	Here we are.

Mierzwiak steps out from behind his desk.

		MIERZWIAK
	Ms. Kruczynski, please come in.

Clementine enters the office.  Mary smiles at Mierzwiak and
closes the door, leaving them alone.","Mary, a receptionist, walks down a hallway to Howard Mierzwiak's office. She announces a visitor, Clementine. After ordering Mierzwiak lunch, Mary leaves as Clementine enters the office to speak with Mierzwiak."
"INT. OFFICE - CONTINUOUS

Mierzwiak directs Clementine to a chair next to a coffee
table and a conspicuously placed box of tissues.  Mierzwiak
sits across from her.  He smiles.

		MIERZWIAK
	How are you today?

		CLEMENTINE
	Okay, I guess.

		MIERZWIAK
		(nodding sympathetically)
	Well, why don't you tell me what's going
	on?  Do you mind if I turn this on?

He indicates a tape recorder.

		CLEMENTINE
	I don't care.

He turns it on, smiles at her, gestures for her to begin.

		CLEMENTINE (CONT'D)
	Well, I've been having a bad time of it
	with um, my boyfriend, I guess.

		MIERZWIAK
	You guess he's your boyfriend?  Or you
	guess you're having a bad time with hm?

		CLEMENTINE
	What?  No.  I don't like the term
	boyfriend.  It's so gay.

Mierzwiak nods.  He's attentive, pleasant, and neutral
throughout.

		CLEMENTINE (CONT'D)
	Maybe gay isn't the right word.  But,
	anyway, it's been rough with him...
	whatever the fuck he is.  Heheh.  My
	significant other... heh heh.  And I
	guess on a certain level, I want to break
	it off, but I feel... y'know... it's like
	this constant questioning and re
	questioning.  Do I end it?  Should I give
	it more time?  I'm not happy, but what do
	I expect?  Relationships require work.
	You know the drill.  The thing that I
	keep coming back to is, I'm not getting
	any younger, I want to have a baby... at
	some point... maybe... right?  So then I
	think I should settle -- which is not
	necessarily the best word -- I mean, he's
	a good guy.  It's not really settling.
	Then I think maybe I'm just a victim of
	movies, y'know?  That I have some
	completely unrealistic notion of what a
	relationship can be.  But then I think,
	no, this is what I really want, so I
	should allow myself the freedom to go out
	and fucking find it.  You know?  Agreed?
	But then I think he is a good guy and...
	It's complicated.  Y'know?

		MIERZWIAK
	I think I know. I think we can help.  Why
	don't you start by telling me about your
	relationship.  Everything you can think
	of.  Everything about him.  Everything
	about you.  And we'll take it from there.

She nods, thinks.

		CLEMENTINE
	Um, well, he's a fucking tidy one --","In this scene, Clementine comes to Mierzwiak's office to talk about her relationship problems. Mierzwiak, an expert, listens to her attentively and records the conversation. Clementine expresses her confusion and frustration with her boyfriend or ""significant other"". She admits to not being happy in the relationship and questioning whether she should continue or end it. She also talks about wanting to have a baby and the pressure she feels to settle down. Mierzwiak attempts to help by asking Clementine to give him more details about her relationship with her boyfriend."
"EXT. COMMUTER TRAIN STATION

SUBTITLE: TWO WEEKS LATER

The platform is crowded with business commuters.  Joel is
among them.  He is in his 30's, gaunt, and holding a
briefcase.  The platform across the tracks from him is empty.
Suddenly he turns and makes his way through the crowd.  He
climbs the stairs, crosses the overpass to the empty
platform.  Soon an almost empty train pulls up to that
platform.  Joel gets on and watches the business commuters
through the dirty window as his train pulls out of the
station.","Two weeks after erasing the memory of his ex-girlfriend, Clementine, Joel is seen among a crowded train station waiting for his commute. He looks frail and is carrying a briefcase. When the platform across the tracks becomes empty, he makes his way through the crowd and crosses the overpass to that platform. Once there, he gets on an almost empty train and watches the remaining commuters through a dirty window as his train departs the station."
"EXT. MONTAUK TRAIN STATION - LATER

Joel talks on a phone.  The wind howls around him.  He tries
to shield the mouthpiece as he talks.

		JOEL
	Hi, Cindy.  Joel.  Listen, I'm not
	feeling well this morning.  No.  Food
	poisoning, I think.  Sorry it took me so
	long to call in, but I've been vomiting.","In this scene, Joel is standing outside the train station, bracing himself against the wind as he makes a phone call. He tells the person on the other end, Cindy, that he is feeling ill and won't be able to make it to work. He explains that he believes he has food poisoning and apologizes for not calling in earlier, but he had been busy vomiting."
"EXT. BEACH - DAY

Joel wanders the windy, empty beach, with his briefcase.  He
passes an old man with a metal detector.  They nod at each
other.

Later: Joel looks out at the ocean.

Later: Joel sits on a rock and pulls out a notebook.  He
opens it and writes with a gloved hand.

		JOEL
	January 13th, 2006.  Today I skipped work
	and took the train out to Montauk.
		(thinks)
	It's cold.
		(thinks some more)
	The sky is gray.
		(thinks some more)
	I don't know what else to say.  Nothing
	happens.  Nothing changes.  I saw Naomi
	last night.  We had sex.  It was weird to
	fall into our old familiar sex life so
	easily.  Like no time has passed.  After
	two years apart suddenly we're talking
	about getting together again.  I guess
	that's good.

He has no other thoughts.  He glances up, spots a female
figure in the distance, walking in his direction.  She stands
out against the gray in a fluorescent orange hooded
sweatshirt.  It's Clementine.  He watches her for a bit, then
as she nears, he goes back to his writing, or at least
pretends to.  Once she passed, he watches her walk away.  She
stops and stares out at the ocean.  Joel writes.

		JOEL (V.O.) (CONT'D)
	If I'm constitutionally incapable of
	making eye-contact with a woman I don't
	know.  I guess I'd better get back to
	Naomi.

Later: Joel walks up near the beach houses closed for the
season.  He peeks cautiously in a dark window.

Later: Joel digs into the sand with a stick.","Joel is seen walking along a deserted beach with his briefcase. He comes across an old man searching for something with a metal detector and they nod at each other. Later, Joel sits on a rock and writes in his notebook about his day, his thoughts and seeing his ex-girlfriend, Naomi, the previous night. While writing, Joel sees Clementine walking towards him, but he avoids eye contact and continues to write. Joel continues his walk along the beach and peeks into a closed beach house before digging into the sand with a stick."
"INT. DINER - DAY

It's a local tourist place, but off-season empty.  Joel sits
in a booth and eats a grilled cheese sandwich and a bowl of
tomato soup.  An elderly couple drink coffee at the counter.
Clementine enters, looks around, takes off her hood.  Joel
glances at her bright blue hair.  She picks an empty booth
and sits.  Joel studies her discreetly.  The waitress
approaches her with a coffee pot.

		WAITRESS
	Coffee?

		CLEMENTINE
	God, yes.  You've saved my life!

The waitress pours the coffee.

		WAITRESS
	You know what you want yet?

		CLEMENTINE
		(laughing)
	Ain't that the question of the century.

The waitress is not amused.

		CLEMENTINE (CONT'D)
	You got grilled cheese and tomato soup?

		WAITRESS
	Yeah.  We're having a run on it.

The waitress heads to the grill.  Clementine fishes in her
bag, brings the coffee cup under the table for a moment,
pours something in, then brings the cup back up.

		CLEMENTINE
		(calling)
	And some cream, please.

Clementine looks around the place.  Her eyes meet Joel's
before he is able to look away.  She smiles vaguely.  He
looks embarrassed, then down at his journal.  Clementine
pulls a book from her purse and starts to read.  Joel glances
up, tries to see the cover.  It's blue.  He can't read the
title.","In this scene, Joel is eating at a diner when Clementine enters with bright blue hair. She orders coffee and grilled cheese and tomato soup while making small talk with the waitress. Clementine pours something into her coffee cup from her bag. She catches Joel's eye and looks at him before he looks away. She starts to read a blue book, but Joel can't see the title."
